name,2012EI,2013EI,2014EI,2015EI,2016EI,2017EI,Education,2012CR,2013CR,2014CR,2015CR,2016CR,2017CR,2018CR,Criminality,2012II,2013II,2014II,2015II,2016II,2017II,2018II,Income,2012Theft,2013Theft,2014Theft,2015Theft,2016Theft,2017Theft,2018Theft,2012Homcide,2013Homcide,2014Homcide,2015Homcide,2016Homcide,2017Homcide,2018Homicide,2012Assault,2013Assault,2014Assault,2015Assault,2016Assault,2017Assault,2018Assault,2012Rape,2013Rape,2014Rape,2015Rape,2016Rape,2017Rape,2018Rape,2012Sexassault,2013Sexassault,2014Sexassault,2015Sexassault,2016Sexassault,2017Sexassault,2018Sexassault,2012_M50,2013_M50,2014_M50,2015_M50,2016_M50,2017_M50,2018_M50,2012A_M50,2013A_M50,2014A_M50,2015A_M50,2016A_M50,2017A_M50,2018A_M50,2012Emp,2013Emp,2014Emp,2015Emp,2016Emp,2017Emp,2018Emp,2012Inac,2013Inac,2014Inac,2015Inac,2016Inac,2017Inac,2018Inac,2012Nemp,2013Nemp,2014Nemp,2015Nemp,2016Nemp,2017Nemp,2018Nemp,2012Nsal,2013Nsal,2014Nsal,2015Nsal,2016Nsal,2017Nsal,2018Nsal,2012Pop,2013Pop,2014Pop,2015Pop,2016Pop,2017Pop,2018Pop,2012Ret,2013Ret,2014Ret,2015Ret,2016Ret,2017Ret,2018Ret,2012Sal,2013Sal,2014Sal,2015Sal,2016Sal,2017Sal,2018Sal,2012Une,2013Une,2014Une,2015Une,2016Une,2017Une,2018Une,2012ED0-2,2013ED0-2,2014ED0-2,2015ED0-2,2016ED0-2,2017ED0-2,2018ED0-2,2012ED3-8,2013ED3-8,2014ED3-8,2015ED3-8,2016ED3-8,2017ED3-8,2018ED3-8,2012ED03_4,2013ED3_4,2014ED03_4,2015ED3_4,2016ED3_4,2017ED3_4,2018ED3_4,2012ED5-8,2013ED5-8,2014ED5-8,2015ED5-8,2016ED5-8,2017ED5-8,2018ED5-8
Alania,0.72833333333333,0.73444444444444,0.73444444444444,0.73444444444444,0.74444444444444,0.74444444444444,0.74,195.68,193.92,286.88,256.29,206.88,187.46,199.19,0.04,0.57024401884727,0.57635497161625,0.57635497161625,0.57127983363544,0.56885179026952,0.56779913282923,0.58664359286472,0.56,188.3,185.16,274.9,242.98,196.17,177.15,188.62,3.8098140810728,3.2612008533984,2.9868942395611,1.6458396830235,2.1639743980494,1.5848826577263,1.5544041450777,4.7546479731789,4.967997561719,4.0231636696129,5.1508686376105,3.5964644925328,3.8098140810728,4.1145992075587,0.73148430356599,1.1886619932947,1.2496190185919,2.1639743980494,1.3410545565376,1.3105760438891,1.2800975312405,0.7010057909174,1.5239256324291,1.7067967083206,2.3773239865895,2.3163669612923,2.1334958854008,2.042060347455,:,:,:,:,:,710,788,:,:,:,:,:,2184,2376,:,:,:,:,:,2187,2416,:,:,:,:,:,1636,1825,:,:,:,:,:,1534,1730,:,:,:,:,:,1440,1690,:,:,:,:,:,1799,2084,:,:,:,:,:,1946,2041,:,:,:,:,:,2965,3127,:,:,:,:,:,1349,1569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,0.84055555555556,0.83555555555556,0.84222222222222,0.845,0.85055555555556,0.85055555555556,0.84,1834.85,1896.69,1811.59,1699.59,1733.13,1511.37,1432.82,0.29,0.93893332975021,0.94085228505435,0.93986586834326,0.93084493566797,0.92681224205033,0.9229375320624,0.93579289161729,0.91,1742.60,1822.11,1742.86,1635.37,1651.67,1429.13,1346.62,1.05,0.75,0.51,0.49,0.56,0.70,0.83,47.93,39.36,37.97,40.31,43.60,41.32,42.06,14.94,15.32,13.68,13.18,14.17,13.28,18.88,33.11,25.47,24.91,23.43,32.46,31.28,27.48,9651,9419,10343,10557,10125,10446,10906,23412,23471,24679,24745,25069,26419,26912,25138,25134,26557,26236,26736,28197,28643,19078,19692,20003,20039,19670,20544,21677,19192,19825,20169,20369,20205,20754,21312,24128,23794,23594,24758,24961,26255,26459,23175,23268,24487,24417,24778,26016,26731,22004,23134,23668,23361,24028,24614,23829,25272,25306,26834,26466,26920,28329,29024,14293,14059,14867,15659,14396,15430,15655,0,0,0,0,0,0,0,77.6,77.8,79.7,80.4,80.4,80.7,81.1,60.8,60.2,52.4,52.3,51.5,51.0,51.0,16.9,17.7,27.4,28.1,28.9,29.7,30.1
elgium,0.90666666666667,0.91888888888889,0.93055555555556,0.94,0.94333333333333,0.94333333333333,0.93,20890.86,2699.07,2550.94,2807.03,2678.69,2553.27,2551.877,0.89,0.92972659093029,0.93220766314127,0.93195506152492,0.92463874079088,0.91722889773116,0.9140605187417,0.92635380245299,0.9,2144.43,2007.85,1864.29,2196.73,2055.54,1969.42,1946.16,1.86,1.83,1.88,2.06,1.55,1.74,1.65,651.76,624.87,629.75,555.13,556.84,552.89,565.02,30.69,29.97,28.51,28.75,30.44,32.83,33.09,66.08,34.16,33.17,32.54,38.80,43.23,42.09,9000,9457,9656,9736,10080,10237,10414,21560,22972,23088,23162,23995,24211,25166,24774,26187,26927,26829,27753,27614,28559,16355,17198,16575,16630,16920,17000,17431,16194,16875,16628,16744,17089,17086,17672,21947,23324,23240,22936,23235,24217,24411,21733,23068,23165,23239,23715,24119,25133,21643,20767,21259,22304,22359,22083,23802,25075,26439,27232,27161,28280,27919,28844,14166,13231,13977,13838,13835,13694,14065,31.4,30.4,29.5,28.7,28.2,27.2,26.3,68.6,69.6,70.5,71.3,71.8,72.8,73.7,37.4,38.1,37.8,38.7,38.6,37.1,37.7,31.3,31.5,32.6,32.7,33.2,35.6,36.0
osnia,0.67111111111111,0.68444444444444,0.70111111111111,0.69444444444444,0.71777777777778,0.71777777777778,0.7,223.35,217.46,204.38,182.32,170.61,150.99,144.07,0.03,0.59063108228176,0.5988778872772,0.59973534879277,0.59714822259967,0.59481075651737,0.59451601353336,0.61204533868393,0.58,203.44407192929,197.40932642487,180.76805851874,148.55227064919,136.87900030479,126.27247790308,108.5339835416,1.828710758915,1.4020115818348,1.4934471197806,1.7067967083206,1.2800975312405,1.0362694300518,1.097226455349,18.835720816824,17.586101798232,18.043279487961,30.234684547394,30.75281926242,22.919841511734,27.704967997562,1.2496190185919,1.0667479427004,0.82291984151173,1.097226455349,0.82291984151173,0.76196281621457,1.0362694300518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ulgaria,0.76277777777778,0.77722222222222,0.78555555555556,0.81277777777778,0.80444444444444,0.80444444444444,0.79,684.34,695.36,638.46,596.32,507.93,631.2,568.79,0.11,0.65096801914335,0.65398320371002,0.65693937890379,0.65117091471634,0.65076485067778,0.65497503742032,0.67215046485563,0.64,606.81,621.26,569.25,531.99,457.48,576.57,523.71,1.92,1.50,1.55,1.75,1.10,1.34,1.30,32.89,33.91,34.96,34.99,34.53,39.58,35.72,2.55,2.25,2.04,1.65,1.78,2.00,1.60,6.81,6.42,6.38,6.72,0,0,0,1119,1212,1300,1426,1338,1574,1668,3257,3426,3821,3953,3842,4452,4439,3545,3699,4093,4223,3978,4537,4493,2634,2718,3052,3003,2681,2998,3189,2356,2408,2685,2624,2392,2690,2807,3481,3308,4296,4242,3821,5358,4853,3116,3217,3602,3684,3388,3983,3885,2793,2929,3485,3278,3221,3598,3652,3550,3717,4090,4222,3990,4494,4480,1727,1819,1972,1864,1696,1819,1853,23.0,22.1,22.6,22.2,21.9,21.4,21.5,77.0,77.9,77.4,77.8,78.1,78.6,78.5,56.4,55.7,53.8,53.7,53.7,54.1,53.6,20.7,22.2,23.6,24.1,24.4,24.5,24.8
Croatia,0.77777777777778,0.78611111111111,0.79222222222222,0.79277777777778,0.79333333333333,0.79333333333333,0.79,458.24067210279,382.90091425747,332.32023721275,370.47195453422,352.08796639486,339.3377810724,315.76476402273,0.06,0.74029701412586,0.74186237250065,0.73826027677921,0.73491998344114,0.72788732237842,0.73150415273749,0.74732412911139,0.72,403.37,329.67,283.58,320.62,303.98,298.81,279.65,1.19,1.08,0.85,0.88,1.05,1.11,0.58,21.12,19.31,18.04,19.03,18.85,19.21,17.85,2.95,6.43,7.89,6.11,7.59,5.92,7.23,5.07,7.09,6.33,8.21,8.54,5.54,5.94,2117,2114,2111,2262,2290,2552,2680,6040,5826,5806,6089,6396,6949,7465,6844,6659,6767,6986,7295,7820,8417,4778,4534,4497,4699,4925,5575,5945,4547,4328,4275,4491,4697,5055,5456,6212,5823,5566,5732,6136,6461,7356,5646,5376,5497,5738,6067,6593,7141,5444,5198,5238,5154,5487,5746,6029,6893,6761,6872,7082,7367,7938,8536,3622,3411,3517,3755,3861,3955,4176,23.1,22.4,21.0,20.4,20.6,19.9,18.7,76.9,77.6,79.0,79.6,79.4,80.1,81.3,61.1,60.5,60.5,59.9,59.4,59.6,59.3,15.8,17.0,18.5,19.7,20.0,20.6,22.0
Cyprus,0.77666666666667,0.78888888888889,0.79388888888889,0.79388888888889,0.80888888888889,0.80888888888889,0.8,139.13385826772,113.30708661417,90.787401574803,88.110236220472,71.732283464567,88.976377952756,70.157480314961,0.02,0.85996911721117,0.85024734514709,0.84302107953103,0.83985658931263,0.83228582843456,0.83228582843456,0.8456177666588,0.82,181.78,146.90,115.38,111.33,86.17,112.19,82.85,2.20,1.27,1.17,1.42,1.30,0.82,1.62,17.17,15.24,15.62,16.88,17.09,16.85,15.27,3.60,2.66,1.98,2.48,2.59,2.22,3.24,0.23,0.12,0.23,0.00,0.24,0.12,0.12,8194,7943,7512,6837,7008,7342,7320,18468,17631,16448,15748,16062,16111,16547,19509,18686,17245,16529,16669,16928,17496,15115,14112,13508,12480,12725,12851,13828,14726,13514,12345,11484,11733,12101,12756,17290,15948,15245,15333,16335,15702,16799,17685,16582,15195,14429,14794,15152,15910,16460,17041,15600,15906,16574,15415,16094,19880,19039,17400,16739,16706,17107,17606,12555,11694,10726,9255,9940,10140,9967,26.4,25.4,26.1,25.5,24.0,22.9,21.9,73.6,74.6,73.9,74.5,76.0,77.1,78.1,38.6,39.2,37.5,38.1,38.3,39.0,38.7,35.0,35.4,36.4,36.4,37.6,38.1,39.4
Czech Repulic,0.86055555555556,0.88111111111111,0.89055555555556,0.89277777777778,0.89277777777778,0.89277777777778,0.89,1184.7943925234,1243.9906542056,1039,860.76635514019,726.32710280374,675.78504672897,615.85046728972,0.15,0.79605130149132,0.79581801074012,0.79179592906751,0.78749944744998,0.78163083970451,0.78700526250088,0.80421846514398,0.77,1142.53,1200.28,993.72,810.06,674.86,624.84,560.20,0.90,0.86,0.77,0.84,0.62,0.38,0.52,49.88,51.14,49.46,49.62,47.85,45.06,46.81,6.37,5.60,6.36,5.67,6.15,5.65,6.14,7.05,7.86,7.23,7.79,6.91,7.59,7.40,3485,3611,3513,3406,3565,3820,4313,8085,7956,7889,7706,8211,8550,9419,9163,9039,8846,8680,9174,9756,10687,7195,7056,6987,6798,7338,7675,8321,6953,6817,6668,6527,6823,7222,7966,9034,8908,8793,8630,9272,9767,10610,8279,8141,8081,7927,8482,8932,9883,7370,7452,7155,6859,7113,7395,8093,9178,9053,8855,8691,9174,9751,10699,4880,4939,4681,4619,4543,5132,5186,13.4,12.9,12.4,12.4,12.4,12.1,12.1,86.6,87.1,87.6,87.6,87.6,87.9,87.9,69.6,69.0,68.5,67.8,67.1,66.5,66.2,17.0,18.1,19.1,19.8,20.6,21.4,21.7
Denmark,0.94611111111111,0.97055555555556,0.95722222222222,0.95,0.95055555555556,0.95055555555556,0.95,4889.7101697822,4672.834848225,4368.6503172698,3944.2805693706,3963.1281083862,3784.6681529755,3263.0766592351,0.7,0.97039082834725,0.97414170402003,0.97526090506887,0.96757143520855,0.96127600443037,0.95772096826301,0.96962934569185,0.94,5044.60,4802.85,4456.42,3990.80,3951.31,3721.21,3162.31,0.77,0.73,1.10,0.92,0.93,1.06,0.93,29.69,26.83,27.24,25.80,30.36,33.12,32.12,15.57,14.98,14.87,18.57,29.42,31.36,38.35,18.55,17.92,27.21,27.56,37.04,52.05,57.48,11385,10605,11676,11501,12105,12883,13079,28458,28683,29316,29767,30278,30958,31635,32424,32932,33258,33834,34004,34731,35544,22053,21825,21938,22359,22475,22291,22707,22039,21686,22034,22337,22475,22367,22831,27441,30034,30257,31162,29330,29094,32496,29037,29142,29625,30109,30642,31267,31986,24786,25596,25298,26513,28767,28265,28854,32582,33023,33442,33919,34117,34900,35676,20476,19492,20157,19563,19914,19045,19197,30.1,29.9,28.7,27.9,27.3,26.7,26.5,69.9,70.1,71.3,72.1,72.7,73.3,73.5,41.4,41.2,41.9,41.9,41.6,41.1,40.9,28.5,28.9,29.4,30.2,31.1,32.2,32.6
Estonia,0.875,0.87555555555556,0.87,0.87055555555556,0.86722222222222,0.87055555555556,0.87,1430.3531179564,1266.4162283997,1206.2359128475,885.4996243426,704.65815176559,600.82644628099,587.07738542449,0.16,0.77481119374238,0.78650945549762,0.79251353484171,0.79002729465825,0.78782800816979,0.79115518269266,0.80999567905112,0.77,1405.66,1247.18,1196.06,863.51,682.55,580.18,561.20,4.75,3.94,3.12,3.80,2.51,2.20,1.90,7.47,7.50,5.85,7.45,7.07,5.78,6.82,10.79,10.23,11.17,12.24,11.55,11.40,16.07,7.92,7.95,3.95,9.35,9.04,8.28,6.37,2160,2402,2670,2910,3476,3765,4282,6502,7124,8121,8853,9600,10465,11659,7672,8161,9179,10012,10714,11501,12669,4871,5523,6141,6627,7355,7830,8408,4488,5005,5571,5938,6696,7235,7736,6103,6974,6024,7275,8603,9448,11817,6465,7140,8073,8977,9647,10477,11643,4546,4926,4988,5228,5694,5923,6226,7788,8300,9364,10191,10865,11663,12739,3277,3467,3878,4096,4631,5574,5955,16.8,15.8,17.7,17.3,16.7,16.8,16.8,83.2,84.2,82.3,82.7,83.3,83.2,83.2,51.1,51.9,49.7,49.5,49.3,48.4,47.3,32.1,32.3,32.6,33.3,34.1,34.7,35.9
